run,outcome,energy,path_length,nodes_explored,time_seconds
1,FRACTURE,1.196039,102,6369,0.052001
2,FRACTURE,0.815447,124,5906,0.051123
3,FRACTURE,0.058920,100,5572,0.040036
4,FRACTURE,1.268924,134,5181,0.038327
5,FRACTURE,1.889340,100,6800,0.043727
6,FRACTURE,3.706924,100,8924,0.053568
7,FRACTURE,2.059584,100,7329,0.050558
8,FRACTURE,5.295237,133,6759,0.044468
9,FRACTURE,2.234959,112,6354,0.041405
10,FRACTURE,0.662442,100,5831,0.039010
11,FRACTURE,0.114913,101,5986,0.094045
12,FRACTURE,4.821647,101,8597,0.052031
13,FRACTURE,0.028849,100,3980,0.033031
14,FRACTURE,4.623059,110,5917,0.041938
15,FRACTURE,5.560448,109,6817,0.045170
16,FRACTURE,4.823653,110,8311,0.052945
17,FRACTURE,4.719674,100,8526,0.064176
18,FRACTURE,2.372738,101,6418,0.045647
19,FRACTURE,0.000000,100,4838,0.039250
20,FRACTURE,3.123174,121,5070,0.038981
21,FRACTURE,1.119025,103,4387,0.036965
22,FRACTURE,4.828778,106,8386,0.049960
23,FRACTURE,0.000000,108,4936,0.035165
24,FRACTURE,6.049541,117,7754,0.050768
25,FRACTURE,5.550387,106,8271,0.049002
26,FRACTURE,1.199527,105,6390,0.043982
27,FRACTURE,4.094499,103,7647,0.047430
28,FRACTURE,0.655595,122,5263,0.038759
29,FRACTURE,3.476396,110,6884,0.044576
30,FRACTURE,7.458883,106,8542,0.051044
31,FRACTURE,2.700540,116,7281,0.046868
32,FRACTURE,2.154091,100,6315,0.043502
33,FRACTURE,5.538495,104,8946,0.051977
34,FRACTURE,8.796501,101,8155,0.047856
35,FRACTURE,0.169922,100,6711,0.041479
36,FRACTURE,5.133927,103,7937,0.049706
37,FRACTURE,4.048066,100,7684,0.047171
38,FRACTURE,4.744120,102,7827,0.048916
39,FRACTURE,0.339865,137,5665,0.039226
40,FRACTURE,4.997383,102,7831,0.048329
41,FRACTURE,5.867480,110,7360,0.048136
42,FRACTURE,1.611914,112,6190,0.041302
43,FRACTURE,1.416417,107,6474,0.042721
44,FRACTURE,4.913098,103,8730,0.050548
45,FRACTURE,5.715437,109,7590,0.046809
46,FRACTURE,2.667812,141,7735,0.048581
47,FRACTURE,2.618018,123,7097,0.045080
48,FRACTURE,1.498183,102,7185,0.058699
49,FRACTURE,0.000000,100,5714,0.038875
50,FRACTURE,0.000000,106,5288,0.036435
